"Audit No.", "Audit Title", "Status"
"S5.1.1", "Ensure cron daemon is enabled and running", "Pass"
"S5.1.2", "Ensure permissions on /etc/crontab are configured", "Fail"
"S5.1.3", "Ensure permissions on /etc/cron.hourly are configured", "Fail"
"S5.1.4", "Ensure permissions on /etc/cron.daily are configured", "Fail"
"S5.1.5", "Ensure permissions on /etc/cron.weekly are configured", "Fail"
"S5.1.6", "Ensure permissions on /etc/cron.monthly are configured", "Fail"
"S5.1.7", "Ensure permissions on /etc/cron.d are configured", "Fail"
"S5.1.8", "Ensure cron is restricted to authorized users", "Fail"
"S5.1.9", "Ensure at is restricted to authorized users", "Fail"
"S5.2.1", "Ensure sudo is installed", "Pass"
"S5.2.2", "Ensure sudo commands use pty", "Fail"
"S5.2.3", "Ensure sudo log file exists", "Fail"
"S5.3", "Configure SSH Server", "Not Installed"
"S5.4.1", "Ensure password creation requirements are configured", "Fail"
"S5.4.2", "Ensure lockout for failed password attempts is configured", "Fail"
"S5.4.3", "Ensure password reuse is limited", "Fail"
"S5.4.4", "Ensure password hashing algorithm is SHA-512", "Fail"
"S5.5.1.1", "Ensure minimum days between password changes is configured", "Fail"
"S5.5.1.2", "Ensure password expiration is 365 days or less", "Fail"
"S5.5.1.3", "Ensure password expiration warning days is 7 or more", "Fail"
"S5.5.1.4", "Ensure inactive password lock is 30 days or less", "Pass"
"S5.5.1.5", "Ensure all users last password change date is in the past", "Pass"
"S5.5.2", "Ensure system accounts are secured", "Pass"
"S5.5.3", "Ensure default group for the root account is GID 0", "Pass"
"S5.5.4", "Ensure default user umask is 027 or more restrictive", "Fail"
"S5.5.5", "Ensure default user shell timeout is900 seconds or less", "Fail"
